OPEN-CLOSE,0PEN-EXCLOSE,HIGH-LOW,CLOSE-LOW,CLOSE-HIGH,Y
-0.77,0.06,3.43,0.98,-2.45,1
1.12,-0.25,1.72,1.72,0,0
-0.41,-0.5,1.29,0.38,-0.91,0
2.22,0.39,4.5,3.32,-1.18,1
3.15,1,3.69,3.26,-0.43,1
0,-0.15,2.18,0.98,-1.2,0
-2.3,-0.6,2.7,0.4,-2.3,0
0.5,-2.3,3.14,1.44,-1.7,0
0.27,-1.47,3.42,1.1,-2.32,0
1.5,0.7,3.25,1.8,-1.45,1
-3.4,-2.3,5.03,1.6,-3.43,0
2.55,-0.5,4,3.05,-0.95,0
0.67,1.05,2.18,0.67,-1.51,1
1.27,-0.37,1.93,1.27,-0.66,0
6.65,1.28,8.88,7.2,-1.68,1
-1.93,-1.2,4.88,0.07,-4.81,0
-1.7,-2.07,2.21,0.26,-1.95,0
4.42,0,5.43,4.52,-0.91,0
-2.6,1.78,3.3,0.4,-2.9,1
-0.84,-3.02,2.25,0.18,-2.07,0
2.6,-6.04,6.34,3.72,-2.62,0
-5.9,-1.2,7.99,1.09,-6.9,0
-2.14,-1,9,3.78,-5.22,0
-5.61,0.84,9.28,0.9,-8.38,1
-3.69,-1.79,8.37,3.48,-4.89,0
4.19,2.21,5.45,4.3,-1.15,1
0.51,-4.51,3.46,1.47,-1.99,0
1.97,2.57,3.85,3.01,-0.84,1
0.9,4.05,3.12,2.16,-0.96,1
0.91,-1.02,4.4,1.99,-2.41,0
0.21,1.71,2.2,0.21,-1.99,1
0.41,-2.99,2.32,1.53,-0.79,0
0.2,1.77,2.53,1.14,-1.39,1
-1,0.8,2.55,0.56,-1.99,1
3.19,-1,3.67,3.67,0,0
-0.18,0.51,2.67,0.72,-1.95,1
3.54,3.08,3.98,3.54,-0.44,1
1.14,0,2.56,1.85,-0.71,0
-1.67,1.37,4.59,1.97,-2.62,1
1.54,0,4.6,2.32,-2.28,0
-0.15,-1.37,2.82,0.8,-2.02,0
1.84,1.61,3.68,3.25,-0.43,1
-0.56,0.02,3.07,0.7,-2.37,1
